product_id,product_name,category,category_id,product_price,product_status,department_id,department_name
822,Titleist Pro V1x High Numbers Golf Balls,Electronics,37,47.99000168,0,6,Outdoors
835,Bridgestone e6 Straight Distance NFL Carolina,Electronics,37,31.98999977,0,6,Outdoors
276,Under Armour Women's Ignite Slide,Electronics,13,31.98999977,0,3,Footwear
823,Titleist Pro V1x High Numbers Personalized Go,Electronics,37,51.99000168,0,6,Outdoors
203,GoPro HERO3+ Black Edition Camera,Strength Training,10,399.9899902,0,3,Footwear
364,Total Gym 1400,Cleats,17,299.9899902,0,4,Apparel
1350,Children's heaters,Children'S Clothing,63,357.1000061,0,4,Apparel
897,Team Golf New England Patriots Putter Grip,Accessories,40,24.98999977,0,6,Outdoors
37,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,3,34.99000168,0,2,Fitness
172,Nike Women's Tempo Shorts,Cardio Equipment,9,30.0,0,3,Footwear
810,Glove It Women's Mod Oval Golf Glove,Golf Balls,36,19.98999977,0,6,Outdoors
821,Titleist Pro V1 High Numbers Personalized Gol,Electronics,37,51.99000168,0,6,Outdoors
93,Under Armour Men's Tech II T-Shirt,Lacrosse,5,24.98999977,0,2,Fitness
1347,Baby sweater,Baby,60,59.08000183,0,4,Apparel
305,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,38,199.0,0,6,Outdoors
1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,45,399.980011,0,7,Fan Shop
1346,Sports Books ,Books,59,31.07999992,0,8,Book Shop
58,Diamondback Boys' Insight 24 Performance Hybr,Basketball,4,299.9899902,0,2,Fitness
311,Polar Loop Activity Tracker,Kids' Golf Clubs,38,109.9499969,0,6,Outdoors
303,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,38,399.9899902,0,6,Outdoors
1354,DVDs ,Dvds,67,164.3800049,0,9,Discs Shop
1348,CDs of rock,Cds,61,11.28999996,0,9,Discs Shop
78,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,5,99.98999786,0,2,Fitness
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & Mma,12,94.98999786,0,3,Footwear
797,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,36,17.98999977,0,6,Outdoors
981,The North Face Women's Recon Backpack,Hunting & Shooting,44,99.0,0,7,Fan Shop
1355,Lawn mower,Garden,68,532.5800171,0,6,Outdoors
135,Nike Dri-FIT Crew Sock 6 Pack,Hockey,7,22.0,0,2,Fitness
134,Nike Women's Legend V-Neck T-Shirt,Hockey,7,25.0,0,2,Fitness
845,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,38,299.9899902,0,6,Outdoors
982,insta-bed Neverflat Air Mattress,Hunting & Shooting,44,149.9900055,0,7,Fan Shop
625,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,29,199.9900055,0,5,Golf
1359,Adult dog supplies,Pet Supplies,72,84.40000153,0,11,Pet Shop
1356,First aid kit,Health And Beauty,69,293.0400085,0,12,Health And Beauty
607,Garmin Approach S3 Golf GPS Watch,Trade-In,41,249.9900055,0,6,Outdoors
1358,Rock music,Music,71,260.6499939,0,9,Discs Shop
1362,Fighting video games,Video Games,75,39.75,0,9,Discs Shop
295,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,38,99.94999695,0,6,Outdoors
127,Stiga Master Series ST3100 Competition Indoor,Hockey,7,329.9899902,0,2,Fitness
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,4,299.9899902,0,2,Fitness
35,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,3,159.9900055,0,2,Fitness
858,GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,38,199.9900055,0,6,Outdoors
860,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,38,599.9899902,0,6,Outdoors
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,10,189.0,0,3,Footwear
19,Nike Men's Fingertrap Max Training Shoe,Soccer,2,124.9899979,0,2,Fitness
226,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,11,599.9899902,0,3,Footwear
208,SOLE E35 Elliptical,Strength Training,10,1999.98999,0,3,Footwear
793,Hirzl Women's Hybrid Golf Glove,Golf Balls,36,14.98999977,0,6,Outdoors
792,Hirzl Men's Hybrid Golf Glove,Golf Balls,36,14.98999977,0,6,Outdoors
786,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,35,179.9900055,0,6,Outdoors
778,Bag Boy Beverage Holder,Golf Gloves,35,24.98999977,0,6,Outdoors
777,Bag Boy M330 Push Cart,Golf Gloves,35,79.98999786,0,6,Outdoors
775,Clicgear 8.0 Shoe Brush,Golf Gloves,35,9.989999771,0,6,Outdoors
773,Titleist Small Wheeled Travel Cover,Golf Gloves,35,249.9900055,0,6,Outdoors
771,Clicgear Rovic Cooler Bag,Golf Gloves,35,39.99000168,0,6,Outdoors
768,Titleist Club Glove Travel Cover,Golf Gloves,35,299.9899902,0,6,Outdoors
743,Ogio Race Golf Shoes,Golf Bags & Carts,34,169.9900055,0,6,Outdoors
730,LIJA Women's Argyle Golf Polo,Golf Shoes,33,80.0,0,6,Outdoors
728,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,33,65.0,0,6,Outdoors
725,LIJA Women's Button Golf Dress,Golf Shoes,33,108.0,0,6,Outdoors
724,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,33,100.0,0,6,Outdoors
715,TaylorMade Women's RBZ SL Rescue,Golf Apparel,32,129.9900055,0,6,Outdoors
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,32,119.9899979,0,6,Outdoors
703,Top Flite Women's 2014 XL Hybrid,Golf Apparel,32,19.98999977,0,6,Outdoors
691,MDGolf Pittsburgh Penguins Putter,Women'S Golf Clubs,31,79.98999786,0,6,Outdoors
677,TaylorMade White Smoke IN-12 Putter,Women'S Golf Clubs,31,99.98999786,0,6,Outdoors
671,Cleveland Golf Collegiate My Custom Wedge 588,Women'S Golf Clubs,31,209.9900055,0,6,Outdoors
666,Merrell Men's All Out Flash Trail Running Sho,Men'S Golf Clubs,30,109.9899979,0,6,Outdoors
652,Merrell Women's Grassbow Sport Waterproof Hik,Men'S Golf Clubs,30,129.9900055,0,6,Outdoors
647,Merrell Women's Siren Mid Waterproof Hiking B,Men'S Golf Clubs,30,134.9900055,0,6,Outdoors
646,Merrell Women's Grassbow Sport Hiking Shoe,Men'S Golf Clubs,30,99.98999786,0,6,Outdoors
1361,Toys ,Toys,74,11.53999996,0,7,Fan Shop
1073,Pelican Sunstream 100 Kayak,Water Sports,48,199.9900055,0,7,Fan Shop
1059,Pelican Maverick 100X Kayak,Water Sports,48,349.9899902,0,7,Fan Shop
1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,46,49.97999954,0,7,Fan Shop
